tweets;Classification
"Mano Brown: ""No Brasil o preto rico vira branco, tem uns ídolos meus que me envergonham. Ele ataca outros pretos, ele vota contra outros pretos. Essa é a regra básica de sobrevivência do preto no Brasil: ganhar dinheiro e ficar branco."" #Eleições2022
	";Neutro
"AGORA É 12+1 #Eleicoes2022
	";Negativo
"Eu vou mesmo ficar com esse frio na barriga, esse desespero, essa insônia por um mês BRAZEWWWWWWW #Eleicoes2022
	";Negativo
"AGORA: ""Lula segue com 70% de chances de vencer Bolsonaro"", aponta CEO do Atlas Intel, instituto que mais se aproximou do resultado real do primeiro turno. #Eleições2022
	";Neutro
" Ciro Gomes declara oficialmente apoio a Lula no 2º turno da eleição presidencial! #Eleicoes2022
	";Positivo
"Reeleito em MG, Zema oficializa apoio a Bolsonaro no 2º turno das #Eleições2022: ""Colocamos divergências de lado"" https://uol.page.link/NLCf8
	";Positivo
"Ciro Gomes declara apoio ao Lula no 2º turno das eleições para Presidente do Brasil. #Eleicoes2022
	";Positivo
"Informação: Presidente do PDT, Carlos Lupi, perguntou três vezes seguidas se todos estavam de acordo em apoiar Lula no segundo turno contra Bolsonaro. Ciro respondeu “sim” todas as vezes. #Eleições2022
	";Positivo
"Moro diz que PT “não é uma opção eleitoral” e declara apoio a Bolsonaro: https://bit.ly/3Sz4jS8#Eleições2022
	";Negativo
"pra quem acredita em Deus e estava com os olhos vendados, ainda dá tempo de mudar  #Eleicoes2022
	";Negativo
" GENTE? Vazou video de Bolsonaro na maçonaria. A sociedade discreta tem como membros, amigos e outros apoiadores do presidente.Envolvimento com Maçonaria é proibido pelo código de direito canônico da Igreja Católica. #ELEICOES2022
	";Neutro
"As #Eleições2022 estão sendo um marco para os povos indígenas do país! A Bancada do Cocar chegou e, com ela, estamos fortalecendo uma grande onda para a aldear a política no Brasil ! Segue o 
	";Negativo
"Nós estamos é lascados isso sim!#Eleicoes2022
	";Negativo
"ATENÇÃO: Presidente do PDT, Carlos Lupi, fará coletiva de imprensa às 13hs. Partido irá apoiar Lula contra Bolsonaro e Ciro Gomes irá seguir a decisão. #Eleições2022
	";Positivo
"Eu amo uma amizade pop!  #Eleicoes2022
	";Negativo
"Mana, vou propagar esse vídeo do Bolsonaro na maçonaria por todo o jurunas como uma boa serva do senhor  #Eleicoes2022
	";Negativo
"inacreditável  #Eleicoes2022
	";Negativo
"A manipulação do quase meio a meio continua!
	";Negativo
"Eu estudei em escola de tempo integral e sim, a gente, às vezes, não suporta. É cansativo, poréeeeeeem, a escola integral faz o aluno ter uma outra visão de responsabilidade e estudo. Óbvio que muitos não gostam, o que não deixa de ser uma excelente proposta! #Eleicoes2022 https://twitter.com/love4stupid/status/1577075215267291140…
	";Neutro
"Gente não dêem RT nesse post, não divulguem e nem mandem nos grupos da família…. taokey?  #Eleicoes2022
	";Negativo
"#Eleições2022 |  Os partidos que mais elegeram candidatos autodeclarados negros — que se identificam como pardos ou pretos— para a Câmara dos Deputados são de direita.
	";Neutro
"Votei Ciro, não voto nulo! Voto Bolsonaro! #Eleicoes2022
	";Negativo
"a minha parte estou fazendo, e vcs?! #Eleicao2022 #LulaNoSegundoTurno #Eleicoes2022
	";Negativo
"oi evangélicos, vamos conversar?você é livre pra votar em Lula. você é livre pra votar no PT. seu pastor ou liderança não podem te obrigar a votar em Bolsonaro.é para liberdade que Cristo te chamou!#Eleições2022
	";Negativo
" Gusttavo Lima e o seu Frigorífico Goiás, que estava oferecendo a “Picanha Mito” por R$22,00 no dia das eleições, são condenados por propaganda eleitoral irregular.#Eleicoes2022
	";Negativo
"Hum! Então tem mesmo lado! Quem diria! #Eleicoes2022 #CPIDasPesquisas #fechaIPEC
	";Negativo
"Para de fazer propaganda p/ bolsonarista @JornalOGlobo. Tá parecendo até q vcs mudaram de lado, tá estranho isso.O correto seria vcs nem publicarem uma informação dessas, ou se publicar, coloquem q ele usou o fundo eleitoral sim, pq até eles desmentiram já passou o 2° turno.
	";Neutro
"O @estudiocbn de hoje, 4, traz o desenrolar do pós-primeiro turno das #Eleicoes2022. Mas tem espaço pra aprender sobrea nossa língua portuguesa e se divertir com o 'Gosto Sim, e Daí?!' @nandoandradep & @LeandroGouveia+http://cbn.com.br  https://youtu.be/Nn0_77vv4sY
	";Negativo
"Eleições 2022: Equipe de Lula avalia exibir na campanha vídeo de Bolsonaro na maçonaria. 
	";Neutro
"Campanha de Ciro foi marcada por críticas a Lula no primeiro turno. Pedetista, no entanto, endossou apoio do partido ao PT e vai trabalhar para a eleiçãio de Lula no segundo turno ==> http://ow.ly/JkpG50L1can #24HNews #Política #Eleições2022
	";Positivo
"#Eleicoes2022 #LulaNoSegundoTurno #LulaPresidente2022
	";Negativo
"Pra qm não tá entendendoO falso crente na maçonaria.
	";Negativo
"#Eleicoes2022
	";Negativo
"Confirmado Siro apoio Kung Kai em segundo turno presidente contra Shao kahn #Eleicoes2022
	";Negativo
"MEMÓRIAS DA CAMPANHA IIAs fotos da festa da vitória são dos craques @sergiovaleac e @digurgel #eleicoes2022 #gladsonreeleitoprimeiroturno em Rio Branco, Acre
	";Negativo
"Confira os candidatos a deputado estadual mais votados em Amargosa nas eleições gerais de 2022 https://ift.tt/q0Duajp
	";Negativo
"Em apoio ao meu presidente do coração , irei seguir o apoio dele!#turmaboa #CiroGomes #Eleicoes2022
	";Negativo
"Pronunciamento - ""Gravo este vídeo para dizer que acompanho a decisão do meu partido, o PDT"".
	";Negativo
"Que diacho de apoio é esse Sr ciro????? #Eleicoes2022 video @GloboNews #estudioi #LulaPresidente2022
	";Negativo
"e q saia o Genocida, vamos votar dia 30 por todos q perdemos na pandemia. e depois, cadeia, justiça!!! #ForaBolsonaro #pantanal #Eleicoes2022
	";Negativo
"'Nem Lula, nem Bolsonaro; meu voto no 2º turno é nulo', diz João Doria https://portalcbn.com.br/39-nem-lula-nem-bolsonaro-meu-voto-no-2-turno-e-nulo-39-diz-joao-doria… #ELEIÇÕES 2022 via @PortalSBN
	";Positivo
"Habla mesmo #Eleicoes2022
	";Negativo
"Amigos do Brasil - No domingo, milhões defenderam a democracia, as pessoas e o planeta. Às vezes esperamos pelo Ultimato, mas descobrimos que ainda estamos na Guerra Infinita. Agora, devemos continuar lutando por justiça, apoiar uns aos outros e saber que nosso #Ultimato chegará!
	";Negativo
"Boulos é o deputado federal eleito com mais votos em São Paulo | Eleições 2022 | O Globo https://oglobo.globo.com/politica/eleicoes-2022/noticia/2022/10/boulos-lidera-disputa-para-deputado-federal-em-sao-paulo.ghtml…** Este povo não lê …. ?? Não pesquisa …???????
	";Negativo
"Rodrigo Garcia vai apoiar Tarcísio no segundo turno ao Governo de São Paulo - Notícias - R7 Eleições 2022
	";Positivo
"da série bolsominions no Instagram:#Eleicoes2022 #LulaNo1ºTurno
	";Negativo
"Pronunciamento oficial de Ciro Gomes em apoio a candidatura de Lula no 2° turno.  #LulaNoSegundoTurno #LulaPresidente2022 #CiroGomes #Eleicoes2022
	";Positivo
"Ah, mas o Cramulhão é o melhor para o país. Bando de cego nojento!#Eleições2022
	";Negativo
"AGORA: Jair Bolsonaro corta R$ 19,4 bilhões destinados a prevenção e controle do câncer e reservou esses valores para o orçamento secreto.
	";Negativo
"#Lula recebe apoio do PDT para o #segundoturno das #Eleicoes2022
	";Negativo
"https://twitter.com/i/broadcasts/1djxXlbMVPkxZ…
	";Negativo
"Verdade
	";Negativo
"Eu sou católica apostólica romana. Tenho as minhas convicções e sigo todas elas. Minha religião acolhe a todos. Mas já frequentei a Umbanda, conheço gente do Candomblé e todos eles me disseram que sim, é possível fazer trabalhos para o mal. Mas deixo isso pra vcs.
	";Negativo
"#Eleicoes2022: PDT apoia Lula no 2º turno da eleição presidencial e Ciro Gomes segue decisão do partido. Confira a declaração do pedetista: #BandEleicoes #RBEleições
	";Positivo
"Em pleno 2022, ano da tecnologia, ano das eleições, conhece Elon Musk pai? Tá hackeando canal ai kkkkkkkkkk
	";Negativo
"Após detonar @cirogomes nas redes inclusive a #CentralDasEleicoes agora cobram sistematicamente apoio do ex candidato apoio ao ex presidiário. Peçam palanque ao CAETANO VELOSO/ sua troupe dendê oras. Se ligam @GloboNews perderam! #Eleicoes2022
	";Negativo
"Filme de terror -""ELEIÇÕES PRESIDENCIAIS 2022""
	";Negativo
"Ciro Gomes diz que vai seguir PDT em apoio a Lula (PT) nas #Eleicoes2022
	";Negativo
"Governador do DF, Ibaneis Rocha anuncia apoio à reeleição de Bolsonaro - Notícias - R7 Eleições 2022
	";Negativo
"#Eleições2022: Ciro Gomes vai seguir PDT, que já acertou com o PT apoio a Lula no segundo turno
	";Positivo
"Eleições 2022: Com aval de Ciro Gomes, PDT declara apoio a Lula no segundo turno
	";Positivo
"Lume Nas Eleições 2022 | Um grande esquema operacional foi montado para manter as ruas limpas.  Clique e saiba mais:
	";Negativo
"Janja liga para Tebet, e Lula conversa com candidata do MDB sobre apoio | Eleições 2022 | O Globo
	";Negativo
"Eleições 2022 Traidor? Janones revela que Zema fez campanha usando Lula em MG: ""Luzema""Leia mais: https://bit.ly/3rrYLga
	";Negativo
"Estuprador apoia o Bozo, pq se diz a favor dos bons costumes ...  #Robinho #Eleicoes2022
	";Negativo
"Sai da reunião da executiva do PDT. Ficou definido que o PDT apoiará a candidatura de Lula . Entregaremos ao PT 3 propostas  p/que sejam integradas ao programa de Lula: 1) Renda mínima2) renegociação de dívidas do SPC2) universalização da escola em tempo integral Vamos de 13
	";Neutro
"Datena aceita conversar com PT e cogita declarar voto em Haddad e Lula http://dlvr.it/SZSBvZ
	";Negativo
"*Eleições 2022 enterram narrativas de institutos de pesquisa e violência política*https://youtu.be/jmpVEaV4i7c via @YouTube
	";Neutro
"#Eleicoes2022 #LulaPresidente #Lula #quedecepção
	";Negativo
"O resultado das #Eleicoes2022 mostram: precisamos radicalizar, subir o tom, defender redução da jornada de trabalho, estatização das grandes empresas, n apertar mão de banqueiro. Assim que se combate o bolsonarismo, unidade da classe trabalhadora e dos oprimidos nas ruas!
	";Neutro
"Os crente tudo brigando, a favor do cara e, o cara, corre pra maçonaria. Hahahaa. #Eleicoes2022
	";Negativo
"o irmão daciolo nunca mentiu estava certo o tempo todo sobre Bolsonaro e sua ligação com demônios Acordem todos que dormem #Eleicoes2022
	";Negativo
"Pronunciamento oficial de Ciro Gomes em apoio a candidatura de Lula para o 2° turno. #Eleições2022
	";Positivo
"Já estão defendendo a maçonaria, de todo jeito vão tentar trazer isso para o lado deles #Eleicoes2022 #LulaNoSegundoTurno
	";Negativo
"E o troféu cara de pau vai para: Ciro Gomes.#Eleicoes2022
	";Negativo
"Eleições 2022: Confira as primeiras pesquisas do segundo turno para presidente https://msn.com/pt-br/noticias/brasil/elei%C3%A7%C3%B5es-2022-confira-as-primeiras-pesquisas-do-segundo-turno-para-presidente/ar-AA12yowh?cvid=a7da4bf490684e729f8b945bdde62f76… Vê se desta vez erram menos hein? hehehe
	";Positivo
"bora se vestir de verde e amarelo pra votar 13 dia 30?#Eleições2022
	";Negativo
"Ué ""bonec@ tradicional brasileira"", hoje não postou fotinho do Jair Maçonaro com a legenda 'Deus acima de todos' pq?#Eleicoes2022
	";Negativo
"Muito decepcionada com nosso presidente, como cristã não posso compactuar elegendo quem não segue os valores da igreja e que frequenta esses lugares, anularei meu voto #Bolsonaro22 #Eleicoes2022
	";Negativo
"A mascara do falso messias tá caindo. Já fiz o meu trabalho. Enviei para todos os cristãos da familia. Até agora varios visualizaram e não responderam nada. Sinal que a casa está literalmente caindo que BOLSONARO SATANISTA twitter.com/PopOnze/status…
	";Neutro
"Eu tô amando o Twitter hoje. Pqp. Que mecanismo de vocês, hein. Eu n consigo acreditar q eu tava pensando essa estratégia na FILA DE VOTAÇÃO. E ela tá se cumprindo, pq mais gente pensou o mesmo. É o tal do reverse, né? KKKKKKKKKKK#Eleicoes2022
	";Neutro
"Você é gigante!  Agora é 12+1 #Eleicoes2022
	";Negativo
" Pronunciamento oficial de Ciro Gomes em apoio a candidatura de Lula no 2° turno. #Eleições2022
	";Positivo
"Se você parar pra pensar vai perceber claramente. Seu ódio, tanto por Lula como por Bolsonaro é infundado. Você só o sente porque deixou ser alimentado. Caso você não o vença você viverá sempre odiando 1 a cada duas pessoas você quer isso pra sua vida?#Eleicoes2022
	";Negativo
"Ciro você sempre esteve ao lado du PT,  era uma manobra sua , e por isso  o Brasil nunca te elegeu #decepção #Eleicoes2022 #Eleicao2022 #segundoturno
	";Negativo
"PDT declara apoio a Lula no 2º turno, e Ciro Gomes concorda#PDT #Lula #CiroGomes #Eleicoes2022 #PlenoNews
	";Positivo
"Tai crentes apoiadores de Bolsonaro#LulaPresidente2022 #Eleicoes2022 #ForaBolsonaroeSuaQuadrilha
	";Negativo
"Vaza vídeo de Bolsonaro na maçonaria. A sociedade tem Carla Zambelli, Jorginho Mello, entre outros apoiadores de Bolsonaro como membros. Envolvimento com Maçonaria é proibido pelo código de direito canônico da Igreja Católica e a Evangélica abomina
	";Neutro
"Hoje eu irei fazer uma vigília de oração por Bolsonaro. Ele precisa se redimir e se entregar a Jesus. BOLSONARO SATANISTA #Eleicoes2022
	";Negativo
"Entornaram o caldo das pesquisas nas #Eleicoes2022A forma da imprensa divulgar os dados;Empolgação com a probabilidade de vitória do PT no primeiro turno, inclusive de jornalistas; Alcance dos institutos não atinge todo território; Voto útil nos dois candidatos.
	";Neutro
"#forabolsonaro #Eleicoes2022
	";Negativo
"Evangélicos e católicos criticam vídeo em que Bolsonaro aparece pedindo votos na maçonaria. Presidente tirou fotos ao lado do Baphomet, um dos principais símbolos relacionados ao satanismo que decepçãohttps://pragmatismopolitico.com.br/2022/10/vaza-video-de-bolsonaro-na-maconaria-e-presidente-e-criticado-por-catolicos-e-evangelicos.html…
	";Neutro
"Bolsonaro pedindo apoio na maçonaria!! Gente como isso!? É verdade mesmo???#Bolsonaro22 #Eleicoes2022
	";Negativo
"Em 2020 ouvi que eu era uma “blogueirinha de 2 mil votos”Resultado: 9.726 votos em 160 de 163 bairros da capital Em 2022 disseram que sem o Novo eu não teria voto Resultado: 14.429 votos em 88 de 92 municípios do RJAmbas eleições sendo muito boicotadaQual será a próxima?
	";Neutro
"Eleições 2022!
	";Negativo
"Por garantia, se eu fosse o Lula, tomava um banho de arruda e sal grosso.@LulaOficial@cirogomes#Derrubasigilode100anos#tiragomes#Eleições2022 #LulaPresidente13 #LulaNoPrimeiroTurno #Lula13 #ForaBolsonaro #BolsonaroNaCadeia   #ACABOUSONARO #segundoturno
	";Negativo
"PDT anuncia apoio à candidatura de Lula no 2º turno das eleições | Eleições 2022 | G1.
	";Positivo
"Ciro, você nos traiu, foi contra o seu caráter. #Eleicoes2022 #Eleicao2022
	";Negativo
" O programa Justiça Eleitoral em Foco de hoje (04.10) recebe o Juiz Auxiliar da Presidência do TRE-MT e coordenador do Gabinete de Gestão Integrada das #Eleições2022, Bruno D'Oliveira Marques, a partir das 15h > https://portal.trt23.jus.br/comunicacao/trtfm/…
	";Neutro
"Dá mta raiva e nojo da quantidade de bolsonarista eleito! Mas n me diga a culpa é dos trabalhadores. O problema é q Lula e o PT tavam + preocupados em baixar o tom, se aliar c o grande capital e passivizar as ruas. N dá p combater seriamente a extrema-direita assim#Eleicoes2022
	";Negativo
"Ciro Gomes, quarto colocado na eleição, acaba de anunciar apoio para o ex-presidente Lula no segundo turno.#Eleições2022
	";Positivo
" OFICIALCiro Gomes acaba de anunciar apoio ao candidato @LulaOficial no 2º turno das #Eleicoes2022.
	";Positivo
"Eu vendo esses vídeos só vejo a guerra que está na internet entre @LulaOficial  e @jairbolsonaro #Eleicoes2022  #AFazenda
	";Negativo
"O MOMENTO DE MAIOR TENSÃO ENTRE DEOLANE X DEBORAH #AFazenda
	";Negativo
"Quer ver a lista completa? Dá uma olhada aqui  #Eleicoes2022 #UOLEleições2022
	";Negativo
"#Eleicoes2022 #Eleicao2022
	";Negativo
"Votei em Ciro Gomes com muito orgulho e independente das ressalvas que tenho, votarei Lula dia 30, o foco agora é tirar Bolsonaro.
	";Negativo
"não há melhor foto para postar nesse dia. #DiaMundialRBD #LulaPresidente2022 #Eleicoes2022 #RBD
	";Negativo
"Basta João Roma declarar apoio ao ACM Neto, forma votos suficientes para derrotar o Jerônimo, porém uma margem menor que 1%, teria que transferir todos os votos de João Roma pra ACM Neto até o dia da eleição.
	";Neutro
"Tarcísio de Freitas diz querer apoio de tucanos, mas não vê sentido em ter Rodrigo Garcia no palanque: 'preguei mudança o tempo todo' | Eleições 2022 em São Paulo | G1
	";Neutro
"Essa galera que tem seus candidatos a presidentes já definidos, deveriam publicar alguma proposta ao invés de atacar o adversários. Ou será que ambos não tem algo de bom pra ser mostrado? #Eleicoes2022 #LulaPresidente2022 #BolsonaroPresidente22 #showdefakenews
	";Neutro
"Nordestinos, lembrem-se: VOCÊS SÃO O MAIOR ORGULHO DESSA NAÇÃO #LulaPresidente2022 #Eleicoes2022
	";Negativo
"Confira a redação do ofício, ou seja, informe oficial do TRE Sergipe. #Eleicoes2022 #Sergipe
	";Negativo
"Coitado do Baphomet  #maconaria  #BolsonaroMacom #Eleicoes2022
	";Negativo
"Cuidado esquerdalhas do #Twitter!!!O @elonmusk vem aí! E parece que dessa vez, definitivamente!#ElonMusk 
	";Negativo
"Like @programapanico Belíssima oração de São Francisco e dedicatória do mestre #EmilioSurita #Eleicoes2022
	";Negativo
"PDT apoia unanimamente LULA 13 no 2º turno. #Eleicoes2022 #LulaPresidente2022
	";Positivo
"Bolsonaro e Moro estão em lua de mel ?! Se reconciliaram ? Deve ter mais mistérios nessa relação do que há entre o céu e a terra !#Eleicoes2022 #LulaPresidente2022 #Lula13Presidente #forabasculho #basculho #ForaGenocida #BrasilDaEsperanca
	";Neutro
"A internet nas eleições está como? #Eleicoes2022 #AFazenda
	";Negativo
"PDT, partido de Ciro Gomes, oficializa apoio a Lula no segundo turno#Itatiaia#ItatiaiaNãoPerdeVoto#Eleicoes2022
	";Positivo
"mais de 25 mil fandons dos grupos na live da webtv corre genteee vamos la #AFazenda #RoçaAFazenda #Eleicoes2022   #AFazenda14 link
	";Negativo
"Tire suas conclusões #Eleicoes2022
	";Negativo
"A equipe das redes sociais do @LulaOficial é rápida demais bicho, estão on fire ehehehe, coisa linda de se ver. #Eleicoes2022
	";Negativo
"Quem são os 30 super ricos eleitos no domingo? #Eleições2022 #UOLEleições2022 https://uol.page.link/6xMpj
	";Negativo
"Olha o naipe das fotos #Eleicoes2022
	";Negativo
"VAMOS BRAAASIL, 13 NELES! #Eleicoes2022 #LulaPresidente2022 #LulaNoSegundoTurno
	";Negativo
"Para impedir que o bolsonarismo continue a contaminar nosso tecido social, é essencial que os democratas que não estiveram com Lula no 1º turno se juntem agora. É imperativo ético derrotar Bolsonaro. Leia meu posicionamento em https://bit.ly/3SqyyKR
	";Neutro
"pleno 2022 ano da tecnologia das eleicoes ainda tem esse negocio de fake news para ne 
	";Negativo
"É a única explicação, maior papagaio de pirada das eleições de 2022
	";Neutro
"Pra pedir voto @jairbolsonaro até bate tambor no terreiro. #ForaBolsonaroeSuaQuadrilha #Eleicoes2022
	";Negativo
"Votou no Lula e está desanimado? Não fique! Já são 21 coisas boas que rolaram desde domingo! Mantenha o otimismo, compartilhe com os outros para eles manterem também:https://kikacastro.com.br/2022/10/03/2-turno-bom-para-lula… :D #LulaNoSegundoTurno #Eleicoes2022
	";Positivo
"É falsa publicação que mostra apoio de Ciro a Bolsonaro no 2º turno#opovo #eleições2022 #eleiçoes2022OPOVO
	";Positivo
"NORDESTINOS lembrem-se de quem ofereceu capim pra você e agora quer seu voto.
	";Negativo
"Gostaram do vídeo do Ciro? Não citou o nome do Lula, mas tá ótimo! #Eleicoes2022
	";Negativo
"#Nordeste #Eleicoes2022
	";Negativo
"Nada está perdido.
	";Negativo
"Venham todos os  eleitores , venham para o pai @LulaOficial  porque mesmo com conflitos, família é família. O BRASIL  nunca abandonará os seus. VENHA COM O 13 SEM MEDO! Se sintam abraçados #Eleicoes2022 #LulaNoSegundoTurno #LulaPresidente2022
	";Negativo
"Os bolsonaristas cristão chegando no Lula depois de descobrir o Bolsonaro satanista na maçonaria:
	";Negativo
"Eleições 2022 impactam em uma vaga na Câmara de Indaiatuba
	";Negativo
"APOIO. Presidente do Cidadania, Roberto Freire, declara apoio à Lula no  segundo turno das eleições 2022. Veja:
	";Positivo
"Confesso que Bolsonaro na maçonaria nem eu esperava! Um capeta encontrando outro capeta me passou essa energia aqui #Eleicoes2022 #ForaGenocida
	";Negativo
"Que Houve FRAUDE nas Eleições de 2022, 0 SURPRESA, agora apelar dessa Maneira logo hoje 03/10/2022, sendo que o 2° Turno é somente dia 30/10/2022 ???? Entrarei de Alguma Forma contra o TSE, ou regressarei ao Supremo Tribunal Militar contra o TSE, tem que ter INTERVENÇÃO MILITAR.
	";Neutro
"VEIO AI? Ex candidato Ciro Gomes, disse que seria o que seu partido, PDT, decidir em relação a quem apoiar neste segundo turno. O PDT anunciou que apoiará  Lula, no 2° Turno . #Eleicoes2022
	";Positivo
"Eleições 2022: famosos que conseguiram se eleger https://terra.com.br/amp/story/noticias/eleicoes/eleicoes-2022-famosos-que-conseguiram-se-eleger,2996a2f70544aa6e54cc4d59f6c0ff69v7drljhv.html… UMA OUTRA FORMA DE SE ENCOSTAR NO GOVERNO, SEM FAZER ESFORÇO, GANHAR NO MOLE,NUNCA TRABALHARAM EM CARGOS POLÍTICOS, A POLITICA ESTÁ CADA VEZ MAIS PARECENDO LUGAR DE VIDA FÁCIL!!!
	";Neutro
"Apagou porque? Compartilhem cristãos #bolsonoro #eleicoes2022
	";Negativo
"Lula diz que segundo turno permitirá mais debate de propostas https://portalcbn.com.br/lula-diz-que-segundo-turno-permitira-mais-debate-de-propostas… #ELEIÇÕES 2022 via @PortalSBN
	";Positivo
"Saí do grupo da família. Zerei o bingo das eleições 2022.
	";Negativo
"Cidadania declara apoio a Lula no segundo turno | Eleições 2022 | G1
	";Positivo
"E ai @simonetebetbr tu vai pra qual lado???? #Eleicoes2022 #Estudioi
	";Negativo
"O pronunciamento de apoio ao Lula feito pelo Ciro é tipo aquela pessoa que te oferece um pedaço de sanduíche perguntando: ""Quer não, né?""#Eleições2022
	";Neutro
"MULHERES NÃO VOTEM NESSE SER NEFASTO! Ele está tirando dinheiro do SUS, especificamente de serviços que atendem as mulheres, para o orçamento secreto para tentar comprar sua reeleição.#lula2022 #lula #eleições2022 #eleições #orçamentosecreto
	";Neutro
"Esse personagem cristão que o bozo criou ta pior que o padre de festa junina kelmon  #LulaPresidente2022 #Eleicoes2022 #maçonaria #BolsonaroMacom
	";Negativo
